"id"|"status"|"company_parking_lot_id"|"cms_created"|"cms_updated"
"144076"|"occupied"|"59"|"2019-02-01 07:57:05"|"2019-02-01 07:57:05"
"144077"|"occupied"|"79"|"2019-02-01 08:21:05"|"2019-02-01 08:21:05"
"144078"|"occupied"|"68"|"2019-02-01 08:27:05"|"2019-02-01 08:27:05"
"144079"|"occupied"|"48"|"2019-02-01 08:33:06"|"2019-02-01 08:33:06"
"144080"|"occupied"|"49"|"2019-02-01 08:35:05"|"2019-02-01 08:35:05"
"144081"|"free"|"54"|"2019-02-01 08:46:05"|"2019-02-01 08:46:05"
"144082"|"free"|"13"|"2019-02-01 08:54:05"|"2019-02-01 08:54:05"
"144083"|"occupied"|"67"|"2019-02-01 09:04:05"|"2019-02-01 09:04:05"
"144084"|"occupied"|"54"|"2019-02-01 09:05:06"|"2019-02-01 09:05:06"
"144085"|"occupied"|"42"|"2019-02-01 09:06:05"|"2019-02-01 09:06:05"
"144086"|"occupied"|"46"|"2019-02-01 09:08:05"|"2019-02-01 09:08:05"
"144087"|"occupied"|"9"|"2019-02-01 09:13:03"|"2019-02-01 09:13:03"
"144088"|"occupied"|"28"|"2019-02-01 09:18:05"|"2019-02-01 09:18:05"
"144089"|"occupied"|"53"|"2019-02-01 09:18:06"|"2019-02-01 09:18:06"
"144091"|"occupied"|"45"|"2019-02-01 09:29:05"|"2019-02-01 09:29:05"
"144092"|"occupied"|"4"|"2019-02-01 09:30:05"|"2019-02-01 09:30:05"
"144094"|"occupied"|"40"|"2019-02-01 09:42:06"|"2019-02-01 09:42:06"
"144095"|"occupied"|"8"|"2019-02-01 09:43:04"|"2019-02-01 09:43:04"
"144096"|"occupied"|"85"|"2019-02-01 09:46:06"|"2019-02-01 09:46:06"
"144097"|"free"|"4"|"2019-02-01 09:47:04"|"2019-02-01 09:47:04"
"144098"|"occupied"|"3"|"2019-02-01 09:49:04"|"2019-02-01 09:49:04"
"144099"|"occupied"|"41"|"2019-02-01 10:00:05"|"2019-02-01 10:00:05"
"144101"|"occupied"|"18"|"2019-02-01 10:29:04"|"2019-02-01 10:29:04"
"144102"|"free"|"10"|"2019-02-01 10:30:05"|"2019-02-01 10:30:05"
"144103"|"free"|"61"|"2019-02-01 10:39:06"|"2019-02-01 10:39:06"
"144104"|"occupied"|"38"|"2019-02-01 10:50:05"|"2019-02-01 10:50:05"
"144105"|"occupied"|"91"|"2019-02-01 10:51:07"|"2019-02-01 10:51:07"
"144106"|"occupied"|"19"|"2019-02-01 10:52:05"|"2019-02-01 10:52:05"
"144108"|"free"|"64"|"2019-02-01 10:56:06"|"2019-02-01 10:56:06"
"144109"|"free"|"67"|"2019-02-01 10:57:05"|"2019-02-01 10:57:05"
"144110"|"free"|"46"|"2019-02-01 11:08:05"|"2019-02-01 11:08:05"
